Time (s),Value
3.058,-4868
3.154,-4841
3.249,-4700
3.345,-4815
3.441,-4825
3.537,-4840
3.633,-4664
3.729,-4489
3.825,-4472
3.921,-4725
4.017,-4874
4.112,-4710
4.208,-4545
4.304,-4760
4.4,-4873
4.496,-4945
4.592,-4760
4.688,-4719
4.784,-4658
4.88,-4640
4.975,-4680
5.071,-4710
5.167,-4689
5.263,-4825
5.359,-4858
5.455,-4733
5.551,-4755
5.646,-4797
5.742,-4826
5.838,-4872
5.934,-4941
6.03,-4900
6.126,-4800
6.222,-4786
6.318,-4853
6.414,-4785
6.509,-4920
6.605,-4912
6.701,-4883
6.797,-4816
6.893,-4893
6.988,-4933
7.084,-4884
7.181,-4940
7.276,-5083
7.372,-5148
7.468,-5177
7.564,-5174
7.66,-5030
7.756,-5056
7.852,-5139
7.947,-5253
8.043,-5268
8.139,-5331
8.235,-5294
8.331,-5224
8.427,-5291
8.523,-5359
8.618,-5399
8.715,-5476
8.811,-5382
8.906,-5403
9.002,-5476
9.098,-5510
9.194,-5558
9.29,-5563
9.386,-5747
9.482,-5679
9.577,-5715
9.673,-5871
9.769,-5809
9.865,-5822
9.961,-5878
10.057,-5767
10.153,-5750
10.249,-5809
10.344,-5890
10.44,-5870
10.536,-5879
10.632,-6039
10.728,-6155
10.824,-6201
10.919,-6130
11.015,-6269
11.111,-6353
11.207,-6341
11.303,-6436
11.399,-6374
11.495,-6381
11.591,-6450
11.687,-6534
11.783,-6455
11.879,-6534
11.974,-6631
12.07,-6684
12.166,-6823
12.262,-6727
12.358,-6722
12.454,-6730
12.55,-6843
12.646,-7030
12.742,-6984
12.837,-7019
12.933,-7113
13.029,-7088
13.125,-7207
13.221,-7290
13.317,-7332
13.412,-7508
13.508,-7559
13.604,-7469
13.7,-7453
13.796,-7544
13.892,-7560
13.988,-7708
14.083,-7667
14.179,-7525
14.275,-7587
14.371,-7691
14.467,-7701
14.563,-7804
14.659,-7889
14.755,-8023
14.851,-8016
14.946,-8067
15.042,-8105
15.138,-8091
15.234,-8118
15.33,-8305
15.426,-8410
15.522,-8271
15.618,-8351
15.713,-8509
15.809,-8567
15.905,-8718
16.001,-8776
16.097,-8661
16.193,-8671
16.289,-8656
16.385,-8980
16.48,-8940
16.576,-8950
16.672,-8825
16.768,-8963
16.864,-8908
16.96,-8764
17.056,-8942
17.152,-9019
17.248,-8964
17.343,-8992
17.439,-9395
17.535,-9370
17.631,-9437
17.727,-9531
17.823,-9584
17.919,-9579
18.015,-9794
18.11,-9784
18.206,-9759
18.302,-9987
18.399,-10068
18.495,-10101
18.591,-10021
18.687,-10038
18.783,-10133
18.878,-10124
18.974,-10126
19.07,-10371
19.167,-10450
19.262,-10529
19.358,-10629
19.454,-10574
19.55,-10553
19.646,-10638
19.741,-10547
19.837,-10682
19.933,-10800
20.029,-10899
20.125,-10937
20.221,-10801
20.317,-10930
20.413,-11316
20.509,-11301
20.605,-11130
20.7,-11081
20.797,-11427
20.893,-11536
20.988,-11316
21.084,-11148
21.18,-11322
21.276,-11409
21.372,-11695
21.468,-11664
21.563,-11505
21.66,-11362
21.755,-11354
21.851,-11544
21.947,-11713
22.043,-11692
22.139,-11559
22.235,-11630
22.33,-11781
22.426,-11626
22.522,-11591
22.618,-11738
22.714,-11845
22.81,-11806
22.906,-11833
23.002,-11973
23.098,-12099
23.193,-12150
23.289,-12129
23.385,-12107
23.481,-12285
23.577,-12302
23.673,-12183
23.769,-12204
23.865,-12206
23.961,-12356
24.057,-12599
24.153,-12630
24.248,-12598
24.344,-12508
24.44,-12487
24.536,-12560
24.632,-12562
24.727,-12452
24.824,-12663
24.919,-12639
25.015,-12836
25.111,-12720
25.207,-12655
25.303,-12771
25.399,-12875
25.495,-12943
25.591,-13070
25.687,-13127
25.783,-13082
25.878,-13326
25.974,-13418
26.07,-13341
26.166,-13547
26.262,-13698
26.358,-13766
26.454,-13718
26.55,-13560
26.645,-13650
26.741,-13897
26.837,-14193
26.933,-14004
27.029,-13980
27.125,-14159
27.221,-14334
27.316,-14445
27.412,-14267
27.508,-14199
27.604,-14145
27.7,-14367
27.796,-14647
27.892,-14743
27.988,-14604
28.083,-14751
28.18,-14890
28.276,-15168
28.371,-15200
28.467,-15093
28.563,-14954
28.659,-15325
28.755,-15405
28.851,-15320
28.947,-15527
29.042,-15523
29.139,-15473
29.234,-15627
29.33,-15687
29.426,-15741
29.522,-15875
29.618,-15859
29.714,-16023
29.81,-16125
29.906,-16038
30.001,-16076
30.097,-16206
30.193,-16293
30.29,-16401
30.385,-16452
30.481,-16422
30.577,-16505
30.672,-16620
30.769,-16612
30.864,-16672
30.96,-16697
31.056,-16653
31.152,-16735
31.248,-16784
31.344,-16963
31.44,-17019
31.535,-17156
31.632,-17246
31.727,-17332
31.823,-17627
31.919,-17627
32.015,-17613
32.111,-17706
32.207,-17768
32.303,-17792
32.399,-17836
32.494,-17815
32.591,-17941
32.686,-18154
32.782,-18164
32.878,-18194
32.974,-18466
33.07,-18501
33.165,-18550
33.262,-18496
33.358,-18204
33.453,-18084
33.55,-18015
33.646,-17936
33.742,-17902
33.838,-17727
33.934,-17588
34.029,-17448
34.125,-17383
34.221,-17433
34.318,-17252
34.414,-17025
34.51,-16979
34.605,-16920
34.702,-16736
34.797,-16559
34.893,-16562
34.989,-16485
35.085,-16356
35.181,-16310
35.277,-16261
35.373,-16117
35.469,-15996
35.565,-15811
35.661,-15814
35.757,-15685
35.853,-15548
35.949,-15519
36.044,-15453
36.141,-15329
36.237,-15088
36.333,-14978
36.429,-14922
36.525,-14874
36.621,-14758
36.716,-14660
36.812,-14553
