Time (s),Value
3.107,-1051
3.158,-1166
3.254,-1191
3.35,-1098
3.487,-1128
3.542,-1170
3.638,-1294
3.733,-1335
3.83,-1359
3.967,-1401
4.021,-1358
4.117,-1331
4.214,-1291
4.309,-1204
4.447,-1250
4.501,-1312
4.597,-1306
4.693,-1211
4.789,-1242
4.927,-1369
4.981,-1462
5.077,-1370
5.173,-1256
5.268,-1297
5.408,-1349
5.46,-1313
5.557,-1330
5.653,-1306
5.749,-1345
5.889,-1316
5.94,-1357
6.036,-1360
6.132,-1350
6.268,-1371
6.324,-1410
6.42,-1444
6.516,-1412
6.612,-1472
6.749,-1415
6.804,-1257
6.9,-1214
6.996,-1360
7.091,-1466
7.229,-1506
7.283,-1476
7.38,-1554
7.475,-1513
7.571,-1435
7.71,-1442
7.763,-1742
7.859,-1983
7.954,-2082
8.05,-2116
8.19,-2156
8.242,-2151
8.338,-2174
8.434,-2166
8.53,-2270
8.67,-2498
8.722,-2283
8.818,-2351
8.913,-2141
9.05,-2289
9.105,-2380
9.201,-2250
9.297,-2175
9.393,-2283
9.531,-2574
9.584,-2295
9.68,-2369
9.776,-2467
9.872,-2378
10.01,-2373
10.064,-2419
10.159,-2360
10.256,-2436
10.351,-2296
10.491,-2362
10.543,-2629
10.639,-2590
10.735,-2515
10.872,-2493
10.927,-2481
11.022,-2528
11.119,-2470
11.215,-2545
11.352,-2533
11.406,-2603
11.502,-2614
11.598,-2528
11.694,-2551
11.832,-2524
11.885,-2468
11.982,-2620
12.077,-2674
12.173,-2607
12.312,-2466
12.365,-2509
12.461,-2553
12.557,-2546
12.653,-2503
12.793,-2565
12.844,-2552
12.94,-2621
13.036,-2554
13.173,-2539
13.228,-2417
13.324,-2512
13.419,-2611
13.516,-2664
13.653,-2587
13.707,-2647
13.803,-2716
13.899,-2625
13.995,-2690
14.134,-2730
14.187,-2656
14.282,-2630
14.378,-2596
14.474,-2615
14.614,-2523
14.666,-2592
14.762,-2693
14.858,-2574
14.994,-2675
15.049,-2667
15.145,-2692
15.241,-2674
15.337,-2786
15.474,-2678
15.529,-2646
15.625,-2895
15.721,-2935
15.817,-2732
15.955,-2920
16.008,-2936
16.104,-3061
16.2,-3007
16.296,-3152
16.435,-3254
16.488,-3210
16.583,-3220
16.679,-3400
16.816,-3356
16.871,-3169
16.967,-3042
17.063,-3164
17.159,-3425
17.296,-3240
17.35,-2998
17.446,-2862
17.542,-2711
17.638,-2886
17.776,-2786
17.83,-2866
17.926,-3187
18.022,-2815
18.118,-2844
18.257,-3117
18.31,-3249
18.405,-3240
18.501,-3092
18.597,-3054
18.738,-2759
18.789,-2858
18.885,-3172
18.981,-3341
19.118,-3268
19.173,-3067
19.268,-3072
19.364,-2881
19.46,-2654
19.598,-3019
19.652,-3249
19.748,-3402
19.843,-3309
19.94,-3070
20.079,-3274
20.131,-3325
20.227,-3246
20.323,-3174
20.419,-3577
20.559,-3397
20.61,-2975
20.707,-3077
20.803,-3368
20.94,-3634
20.994,-3400
21.09,-3411
21.186,-3204
21.282,-3274
21.42,-3640
21.473,-3563
21.569,-3481
21.665,-3522
21.761,-3505
21.9,-3302
21.953,-3374
22.049,-3341
22.145,-3248
22.241,-3093
22.38,-3185
22.433,-3329
22.528,-3387
22.625,-3246
22.76,-3418
22.861,-3559
22.912,-3585
23.008,-3586
23.103,-3648
23.241,-3602
23.295,-3579
23.392,-3532
23.487,-3607
23.583,-3630
23.721,-3733
23.775,-3681
23.871,-3676
23.966,-3620
24.063,-3610
24.202,-3530
24.255,-3622
24.35,-3793
24.446,-3728
24.542,-3700
24.682,-3731
24.734,-3838
24.83,-3706
24.926,-3713
25.062,-3632
25.117,-3617
25.213,-3696
25.309,-3695
25.405,-3736
25.543,-3749
25.597,-3730
25.692,-3764
25.788,-3699
25.885,-3719
26.023,-3652
26.076,-3675
26.172,-3766
26.268,-3847
26.364,-3948
26.503,-3935
26.555,-3912
26.651,-4008
26.748,-3914
26.843,-3738
26.984,-3974
27.035,-4308
27.131,-4183
27.227,-3971
27.364,-3786
27.419,-3917
27.515,-4112
27.61,-4234
27.707,-4337
27.844,-4529
27.898,-4342
27.994,-4171
28.09,-4174
28.186,-4340
28.325,-4499
28.378,-4639
28.473,-4845
28.57,-4436
28.665,-4169
28.805,-4286
28.857,-4328
28.953,-4543
29.049,-4722
29.185,-4980
29.285,-4821
29.337,-4904
29.433,-4883
29.529,-4836
29.666,-4835
29.72,-4739
29.816,-4875
29.912,-5091
30.008,-4944
30.146,-5081
30.2,-4896
30.295,-4880
30.392,-5084
30.487,-5038
30.626,-5027
30.679,-5253
30.775,-5561
30.871,-5383
30.967,-5432
31.107,-5892
31.159,-5816
31.255,-5642
31.35,-5645
31.487,-5833
31.542,-5815
31.638,-5927
31.734,-5825
31.83,-5550
31.967,-5816
32.022,-6050
32.118,-6010
32.214,-5993
32.309,-6250
32.448,-5989
32.501,-6228
32.597,-6381
32.693,-6529
32.789,-6461
32.928,-6216
32.981,-6130
33.077,-6189
33.173,-6089
33.268,-6086
33.408,-6033
33.46,-6146
33.556,-6292
33.652,-6266
33.789,-6092
33.844,-6172
33.939,-6306
34.036,-6229
34.132,-6227
34.269,-6338
34.323,-6462
34.419,-6518
34.515,-6536
34.611,-6505
34.749,-6486
34.803,-6607
34.899,-6703
34.995,-6669
35.091,-6617
35.23,-6691
35.282,-6688
35.378,-6729
35.474,-6768
35.57,-6772
35.706,-6670
35.762,-6695
35.857,-6948
35.953,-6996
36.09,-6878
36.145,-6801
36.242,-7019
36.337,-7151
36.433,-7082
36.57,-7058
36.625,-7041
36.721,-7173
36.816,-7287
36.913,-7235
37.051,-7205
37.104,-7193
37.2,-7374
37.296,-7382
37.392,-7239
37.531,-7382
37.583,-7409
37.68,-7539
37.775,-7546
37.872,-7424
37.967,-7457
38.063,-7576
38.159,-7542
38.255,-7460
38.392,-7416
38.447,-7632
38.543,-7772
38.639,-7681
38.734,-7798
38.872,-7951
38.927,-8289
39.022,-8201
39.118,-8135
39.214,-8026
39.353,-8016
39.405,-8083
39.502,-8449
39.597,-8385
39.693,-8179
39.833,-8399
39.885,-8858
39.981,-8768
40.077,-8836
40.173,-9538
40.269,-9424
40.365,-9139
40.461,-9231
40.557,-9306
40.694,-8928
40.749,-9035
40.844,-9224
40.94,-9366
41.036,-9534
41.174,-9364
41.228,-9552
41.324,-9537
41.42,-9392
41.515,-9234
41.654,-9394
41.708,-9775
41.804,-9884
41.899,-9752
41.995,-9425
42.135,-9847
42.188,-10150
42.283,-9950
42.379,-9920
42.516,-10279
42.571,-10486
42.667,-10187
42.762,-9950
42.86,-10335
42.997,-10246
43.051,-10148
43.147,-10291
43.242,-10518
43.339,-10303
43.477,-10309
43.53,-10593
43.627,-10883
43.722,-10609
43.818,-10491
43.957,-10324
44.01,-10519
44.106,-10663
44.202,-10674
44.298,-10601
44.438,-10856
44.489,-10732
44.585,-10853
44.682,-11000
44.818,-11108
44.873,-11180
44.969,-11234
45.065,-11086
45.161,-11187
45.299,-11152
45.353,-11090
45.448,-11216
45.544,-11268
45.64,-11341
45.779,-11424
45.832,-11261
45.928,-11395
46.024,-11483
46.12,-11460
46.259,-11491
46.312,-11651
46.408,-11671
46.503,-11572
46.599,-11491
46.736,-11540
46.791,-11681
46.887,-11813
46.983,-11969
47.12,-11998
47.175,-11976
47.271,-12127
47.366,-12124
47.462,-12093
47.6,-12161
47.654,-12124
47.75,-12042
47.846,-12048
47.942,-12063
48.081,-12107
48.133,-12246
48.229,-12341
48.325,-12398
