Time (s),Value
2.97,-4166
3.066,-4193
3.162,-4181
3.258,-4198
3.354,-4145
3.449,-4203
3.546,-4183
3.641,-4246
3.737,-4211
3.833,-4159
3.929,-4208
4.025,-4242
4.121,-4211
4.217,-4259
4.313,-4318
4.409,-4172
4.504,-4218
4.6,-4273
4.696,-4248
4.792,-4298
4.888,-4325
4.984,-4287
5.079,-4313
5.175,-4431
5.271,-4460
5.367,-4364
5.463,-4274
5.559,-4394
5.655,-4477
5.751,-4390
5.847,-4263
5.942,-4434
6.038,-4400
6.134,-4377
6.23,-4327
6.326,-4446
6.422,-4573
6.518,-4532
6.613,-4486
6.71,-4465
6.805,-4518
6.901,-4680
6.997,-4734
7.093,-4788
7.188,-4792
7.285,-4787
7.38,-4707
7.476,-4714
7.572,-4783
7.668,-4760
7.764,-4789
7.86,-4802
7.956,-4649
8.051,-4778
8.148,-4898
8.243,-4810
8.34,-4780
8.435,-4878
8.531,-4970
8.627,-4874
8.723,-4846
8.818,-4827
8.914,-4909
9.01,-4948
9.106,-5030
9.202,-5032
9.298,-5006
9.394,-4980
9.489,-4990
9.586,-5050
9.681,-5095
9.777,-5155
9.873,-5243
9.97,-5198
10.065,-5214
10.161,-5162
10.257,-5260
10.353,-5315
10.448,-5370
10.544,-5431
10.64,-5498
10.736,-5433
10.832,-5468
10.928,-5472
11.024,-5501
11.119,-5686
11.216,-5742
11.311,-5734
11.407,-5682
11.503,-5854
11.599,-5859
11.695,-5731
11.791,-5709
11.887,-5837
11.982,-5890
12.079,-5904
12.174,-6052
12.27,-6175
12.366,-6121
12.462,-6063
12.558,-6113
12.654,-6100
12.749,-6114
12.845,-6194
12.941,-6213
13.037,-6193
13.133,-6192
13.229,-6248
13.325,-6376
13.421,-6374
13.516,-6436
13.612,-6456
13.709,-6581
13.804,-6535
13.9,-6595
13.996,-6665
14.092,-6760
14.188,-6803
14.284,-6812
14.379,-6675
14.475,-6672
14.571,-6827
14.667,-6953
14.763,-7032
14.858,-7075
14.955,-7043
15.05,-6900
15.147,-6983
15.242,-6998
15.338,-7092
15.434,-7284
15.53,-7244
15.625,-7255
15.721,-7373
15.818,-7362
15.913,-7465
16.009,-7402
16.105,-7389
16.201,-7542
16.297,-7569
16.393,-7628
16.489,-7627
16.585,-7699
16.68,-7785
16.776,-7857
16.872,-7930
16.968,-7917
17.064,-8018
17.16,-7952
17.255,-8036
17.351,-8106
17.448,-8103
17.543,-8169
17.639,-8235
17.735,-8256
